Ag120,160459745887.71353,6761923779.02131,24142003.052024152,86173.7492865866,307.59314325334884,1.0979392513170674,0.0039190424950070815,1.3988837778817996e-05,4.993249821898958e-08,1.7823170286274287e-10,6.361896768319928e-13,2.2708491161041382e-15,8.105689067118846e-18,2.8932875718985866e-20,1.032745384678112e-22,3.6863360556795906e-25,1.315820309343607e-27,4.696758679430593e-30,1.6764859104364295e-32,5.984137571727668e-35,2.136009748393323e-37,7.624386288823352e-40,2.7214888099140484e-42,9.714226249717481e-45,3.4674473503964325e-47,1.237689015954402e-49,4.417872704077367e-52,1.5769388738076094e-54,5.628809108579654e-57,2.009176925439582e-59,7.1716624952973e-62,2.5598911820670576e-64,9.1374111209524e-67,3.261555904336774e-69,1.1641970330875616e-71,4.155546529335013e-74,1.4833027800861506e-76,5.2945794780052305e-79,1.8898752314942742e-81,6.74582071239616e-84,2.4078889614216815e-86,8.59484634669e-89,3.0678899611548025e-91,1.0950688859468782e-93
Ag120_m1,158283058290.85153,61.97935729854358,2.4269437124987352e-08,9.503254051612357e-18,3.7212168170354184e-27,1.4571276874406834e-36,5.705717247611867e-46,2.2342042904198683e-55,8.748538693220056e-65,3.4256907300265345e-74,1.3414076783914081e-83,5.252589043942945e-93,2.0567715623660747e-102,8.053760201620939e-112,3.1536342961974802e-121,1.2348777496691944e-130,4.835446704986502e-140,1.8934299239765561e-149,7.414158599479117e-159,2.903183637384554e-168,1.1368080570827755e-177,4.45143235862463e-187,1.743060309957637e-196,6.825351930290487e-206,2.6726228981401263e-215,1.0465267181261567e-224,4.0979150949954956e-234,1.6046325272860926e-243,6.283306237284017e-253,2.4603724902837713e-262,9.634152088633166e-272,3.772472941940984e-281,1.477198197282761e-290,5.784307926494273e-300,2.264978271030205e-309,8.869e-319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag121,934236719423.3938,132878808.46886428,18369.477725110686,2.53943961347827,0.0003510580783517512,4.853109076581665e-08,6.709051624671682e-12,9.274750060679435e-16,1.2821631655320994e-19,1.772492382319643e-23,2.4503349728326823e-27,3.387400441873486e-31,4.682821687983228e-35,6.473642351335887e-39,8.94931476903157e-43,1.237174228796857e-46,1.7102986227455373e-50,2.3643568633093322e-54,3.2685422900616275e-58,4.518509395814329e-62,6.246493191213208e-66,8.635298451302863e-70,1.1937638777541169e-73,1.6502871369958702e-77,2.2813955802195755e-81,3.1538546697515914e-85,4.359962544047966e-89,6.02731431090274e-93,8.332300435013393e-97,1.1518767225020658e-100,1.5923813527734008e-104,2.2013452682267362e-108,3.0431912440473167e-112,4.206978833132502e-116,5.815826046767406e-120,8.039934106602836e-124,1.1114593166768545e-127,1.5365073845732763e-131,2.1241037862788514e-135,2.9364108107669043e-139,4.0593630618653704e-143,5.611758548094066e-147,7.757826418126703e-151,1.072460089257135e-154
Ag122,120975449719.41164,251937.26345482274,0.5137410695641577,1.0476016248508305e-06,2.1362301544650864e-12,4.356120842687436e-18,8.882839125004041e-24,1.811355418506334e-29,3.6936483999993214e-35,7.53195003224036e-41,1.5358871539634366e-46,3.1319237908011473e-52,6.386502163309155e-58,1.3023116974222125e-63,2.6556254329426824e-69,5.41525231943426e-75,1.1042580523354652e-80,2.251761827923665e-86,4.5917087214988806e-92,9.363241139286089e-98,1.9093172052037529e-103,3.8934084211410416e-109,7.939293215657339e-115,1.6189510564039343e-120,3.301304602105449e-126,6.731897195268499e-132,1.3727433639041203e-137,2.7992470599035044e-143,5.70812018358131e-149,1.1639785747004242e-154,2.373541689361544e-160,4.8400376721600845e-166,9.869624272000941e-172,2.012576964654011e-177,4.103971870688825e-183,8.36866634727711e-189,1.7065072237031074e-194,3.479845872333541e-200,7.095971893350462e-206,1.4469841182205526e-211,2.950636036685188e-217,6.0168269377357786e-223,1.226928904431511e-228,2.5019076534981637e-234
Ag122_m1,120641762270.50743,0.00010715140976325838,9.516956979217232e-20,8.452755810155303e-35,7.507555297574862e-50,6.668048600011401e-65,5.922416868041817e-80,5.2601628546628085e-95,4.671963131619761e-110,4.1495368311393203e-125,3.685529065168822e-140,3.2734073808605555e-155,2.907369794567486e-170,2.5822631096228537e-185,2.29351036795478e-200,2.0370464141759468e-215,1.8092606649986134e-230,1.60694627826408e-245,1.4272550059716041e-260,1.2676570957129636e-275,1.1259056759919998e-290,1.0000051240339853e-305,8.883e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag123,99474947058.23958,9.261788740205493,8.558114916332109e-10,7.907605718147244e-20,7.306540878084972e-30,6.751163557739292e-40,6.238001010825983e-50,5.76384445114754e-60,5.325728995453513e-70,4.9209151241698384e-80,4.546871551285416e-90,4.201259396315314e-100,3.881917559368443e-110,3.586849207870729e-120,3.3142092904456216e-130,3.062292999876766e-140,2.829525113012205e-150,2.6144501409528503e-160,2.4157232279347846e-170,2.2321017419964243e-180,2.0624375048472936e-190,1.9056696123520826e-200,1.760817800736718e-210,1.6269763170356208e-220,1.5033082554522566e-230,1.389040324218455e-240,1.283458010229884e-250,1.1859011112223007e-260,1.0957596075514708e-270,1.0124698477631155e-280,9.355110241014385e-291,8.644019159176836e-301,7.986978806154e-311,7.38e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag124,199246096502.3487,6.279373530364647e-07,2.5319205852418296e-24,1.5608156307148005e-32,4.396056614007224e-40,1.238154807074747e-47,3.487278397183496e-55,9.821962932239813e-63,2.7663680628483155e-70,7.791510018865427e-78,2.1944884771252912e-85,6.180804060541959e-93,1.7408311427935048e-100,4.9030725420763606e-108,1.380956473141103e-115,3.889481063852911e-123,1.0954771739952312e-130,3.08542507096253e-138,8.690138046240637e-146,2.447588177507104e-153,6.893662511223417e-161,1.9416086110960677e-168,5.468564776045818e-176,1.5402280634162985e-183,4.338071476681815e-191,1.2218232211052688e-198,3.441280282393909e-206,9.692408670446102e-214,2.7298789440535766e-221,7.688737962432698e-229,2.165542599745165e-236,6.099277637272057e-244,1.7178691243896435e-251,4.838399731957659e-259,1.362741295820513e-266,3.838177790620836e-274,1.0810275433493095e-281,3.044727506723486e-289,8.57551285092753e-297,2.415303848834768e-304,6.80273329841e-312,1.916e-319,0.0,0.0
Ag125,599065.5754056268,4.398824108415905e-13,5.684820351593425e-24,1.6011366240599784e-31,4.5096211944736187e-39,1.2701404122577795e-46,3.577366251576405e-54,1.0075696493405107e-61,2.837832435593651e-69,7.992790312588856e-77,2.2511793219267407e-84,6.34047452926247e-92,1.7858025286860918e-99,5.029735009175398e-107,1.4166311143672694e-114,3.98995913409455e-122,1.1237769473145464e-129,3.165131734117844e-137,8.914632853307459e-145,2.510817418833851e-152,7.071748454991639e-160,1.9917667384155586e-167,5.609835764814739e-175,1.5800172129206767e-182,4.450138110608428e-190,1.2533869277842961e-197,3.5301798544085422e-205,9.942795419529553e-213,2.8004006830179203e-220,7.887363316400508e-228,2.2214856774659025e-235,6.256842010719349e-243,1.7622473259318778e-250,4.963391487964102e-258,1.3979453791917273e-265,3.937330528817707e-273,1.1089540352515998e-280,3.1233828181300333e-288,8.797046512731771e-296,2.477699079919329e-303,6.978470241971e-311,1.965497e-318,0.0,0.0
Ag126,170927.93658285277,1.256517655614241e-23,9.23685531127327e-52,6.79015496998244e-80,4.991547768438694e-108,3.6693638414367056e-136,2.6974060202281855e-164,1.9829048173959333e-192,1.457663950241861e-220,1.0715512783034652e-248,7.87713891012585e-277,5.790606447472876e-305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag127,56864.566168085694,1.372179526903655e-23,3.31115979762855e-51,7.990047213553384e-79,1.9280511475324984e-106,4.652514720057806e-134,1.1226825205366955e-161,2.7091070480330813e-189,6.537254177783056e-217,1.577482595823221e-244,3.8065696582246996e-272,9.185503916989483e-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
