,Nuclide,Pn,Pn err,lam,lam err
0,He8,0.16,0.01,5.805252768508754,0.07293031116217027
1,Li9,0.505,0.01,3.8897148179570444,0.008731121925829506
2,Li11,1.007,0.016401219466856725,80.7863846806463,3.0130120160614005
3,Be11,0.0,0.0,0.050447393053853366,0.00029372572374878237
4,Be12,0.005,0.0003,32.28445181928017,0.0601480238831489
5,Be14,0.96,0.07211102550927978,153.01262264016452,9.119957640804508
6,B13,0.00266,0.00035999999999999997,40.39319234032315,0.4237048147586344
7,B14,0.0604,0.0023,56.07986897734185,1.3157898061026811
8,B15,1.0043,0.01714322023425004,68.0891140039239,2.3409813262645742
9,B17,0.975,0.0462709412050371,136.446295385816,1.3429753482855904
10,B19,1.1785,0.19239867463160967,237.3791714246388,10.568250782603782
11,C16,0.9928,0.0012,0.9185623914125964,0.009738270780944568
12,C17,0.284,0.013000000000000001,3.6290428301567816,0.11400134544995126
13,C18,0.22,0.044000000000000004,7.534208484347231,0.16378714096407027
14,C19,0.61,0.0670820393249937,15.003185726405743,1.2989771191693285
15,C20,0.8460000000000001,0.23280034364235808,42.786862997527486,9.244075338971989
16,C22,0.985,0.3938591118661596,111.79793234837828,23.4415019440148
17,N17,0.951,0.006999999999999999,0.16618249354110412,0.00015936944957190517
18,N18,0.109,0.009000000000000001,1.119785429014451,0.0036180466204021045
19,N19,0.418,0.009000000000000001,2.0629380373807895,0.01841908961947133
20,N20,0.429,0.013999999999999999,5.096670445293715,0.11242655394030254
21,N21,0.865,0.042,8.17390543113143,0.645815641374771
22,N22,0.5800000000000001,0.0670820393249937,35.54600925948437,3.645744539434295
23,N23,0.636,0.109,49.68796993261256,4.808513219285087
24,O22,0.11,0.11,0.3080654135821979,0.012322616543287916
25,O23,0.07,0.02,7.145847222267477,0.5893482245169053
26,O24,0.41,0.06,9.627044174443686,0.6685447343363672
27,F22,0.055,0.055,0.16386458169265844,0.0015495468717981883
28,F23,0.07,0.07,0.31082833208966154,0.019513886319530323
29,F24,0.029500000000000002,0.029500000000000002,1.8145214150783908,0.07600089696663417
30,F25,0.195,0.05,9.241962407465937,1.2322616543287916
31,F26,0.135,0.04,84.53014397072502,9.277698728494208
