Ag120,5028798761.617937
Ag120_m1,172835771.4412828
Ag121,2528026737.5025477
Ag122,221241455.06638226
Ag122_m1,82467261.72345638
Ag123,101996392.92912611
Ag124,117270182.60634717
Ag125,340.1896516158746
Ag126,62.745503201042176
Ag127,21.26129195173443
Ag128,0.8979062773592014
Ag129,0.0001657831003485777
Ag130,411106.47118321725
As84,1156307946100.526
As85,389644406731.08344
As86,718720959149.7943
As87,36395009973.76279
As88,17194570000.112026
Ba147,270688175371.6711
Ba148,16770292999.099674
Ba149,438589534.21061873
Ba150,18592329.59806228
Ba151,261643.5665271483
Ba152,4193.978252993198
Ba153,7.272356509734968
Be11,2.892404701060954e-222
Br87,143793066290052.8
Br88,35016639645150.68
Br89,5894109909291.997
Br90,1339716703465.5042
Br91,149859161522.45786
Br92,11354604696.16478
Br93,388625308.9390635
Br94,14346401.178843122
Cd126,5136538240.647672
Cd127,3725041474.08837
Cd128,1228194539.8392258
Cd129,1995539.0804421115
Cd130,17560688161.75397
Cd131,1156733380.4872608
Cd132,0.014220687072294205
Ce153,2061489673.6359499
Ce154,87268674.39932424
Ce155,1482736.4428102125
Ce156,26102.791175171205
Ce157,137.58369818042627
Co66,16380.991486652578
Co67,141272.34400543914
Co68,70324.14660564084
Co69,91585.37753243512
Co70,31180.233997622145
Co71,14484.21125247556
Co72,4292.871735344262
Co73,1118.8964570864653
Co74,111.10881028012541
Co75,15.992247332479826
Cr66,0.02975246186850832
Cs141,128838344315902.83
Cs142,5643733740233.029
Cs143,3218816995780.118
Cs144,519958719264.97565
Cs145,54853445203.36414
Cs146,3032192078.24533
Cs147,636032457.0693047
Cs148,2361386.605876906
Cs149,22381.440824855126
Cs150,122.83690401802875
Cs151,0.5845367553827304
Cu73,281618843.3488309
Cu74,157497338.52665478
Cu75,154840704.8498406
Cu76,67081741.96189192
Cu77,25781075.547395617
Cu78,4509298.681004554
Cu79,0.008874739987013318
Cu80,11018.610727741963
Cu81,3.0751625535554853e-06
Eu165,110614.9898739936
Eu166,1237.7160529099938
Eu167,55.30746361483345
F22,2.0770823917356943e-178
Fe65,78.59651453417047
Fe66,20774.319000989304
Fe67,35566.78602683621
Fe68,9061.159158178334
Fe69,1642.7685903097613
Fe70,375.99180485726856
Fe71,17.007034688729377
Fe72,1.324045021445075e-05
Ga79,65838043473.29738
Ga80,24718787196.755302
Ga81,12292463885.790865
Ga82,4635955005.460503
Ga83,73051454.74470206
Ga84,1161557876.8295658
Ga85,34843.69323907861
Ga86,1174304.450918184
Gd169,146.9109985259513
Ge83,113313311673.83597
Ge84,33328890142.0368
Ge85,1422180553.4992905
Ge86,73736965628.07083
Ge87,379547469.3573403
Ge88,4236947.0053906245
I137,91636478567977.64
I138,11454358588409.201
I139,2191115060435.8945
I140,162737427641.10968
I141,21613646999.06467
I142,1605710057.896233
I143,6793712.269261052
I144,374023.02990872803
I145,129.9132652592273
In127,66417855311.93979
In127_m1,28352080454.547634
In128,17283038532.520824
In128_m1,11686885174.437616
In129,23058409818.874146
In129_m1,38482980955.25124
In130,34823196220.4
In130_m1,2093509493.2760823
In130_m2,2093509493.2760828
In131,3437575488.194147
In131_m1,2402418689.284178
In132,1591310146.5220337
In133,34832496.84154273
In134,599755.4927733452
In135,824.1185237905012
K48,1.2088961907288195e-77
Kr100,9938.068102208186
Kr91,35924090503022.63
Kr92,3821299501973.718
Kr93,775952109941.3761
Kr94,22729414504.33777
Kr95,1011688521.4842505
Kr96,3734712496.5579624
Kr97,2309926.884450706
Kr98,92736230.31451978
Kr99,40.923180009778875
La147,4456366145469.548
La148,557531760193.9685
La149,104880888322.47125
La150,11118989566.67035
La151,987341683.3803164
La152,25229931.00345867
La153,599541.1430631018
La154,4109.550596649969
La155,6.70339642874634
Li9,2.0565275893264933e-220
Mn66,57.0780779260307
Mn67,31.21661479643355
Mn68,2.3021731012809337
Mn69,0.13878712336578947
Mo109,10380534267.468863
Mo110,1444188740.4063444
Mo111,56276840.58605332
Mo112,3418451.496348764
Mo113,13757.730197888919
Mo114,434.5585140065173
Mo115,0.269037148305398
N17,7.31441310194676e-193
N18,9.980573829742143e-199
Nb103,3540135783710.893
Nb104,2232595129624.5483
Nb104_m1,331007672767.59045
Nb105,926629808927.4735
Nb106,18071102284.629715
Nb107,857017459.6052053
Nb108,21449167.586726602
Nb109,113523630.11691359
Nb110,3212852.371568366
Nb111,7903.9253095470685
Nb112,212.15134107210528
Nb113,0.04776383502380859
Nd158,85332859.54152726
Nd159,1689455.669021101
Nd160,36606.575632926535
Nd161,371.417151295219
Ne28,5.947679109860915e-202
Ni72,14838876.41899377
Ni73,7415899.665635603
Ni74,3847166.37364863
Ni75,1133569.6339168586
Ni76,147505.63771680836
Ni77,4247.318937343368
Ni78,683.0714659553278
Pd119,496102085.4305765
Pd120,1674247695.8221805
Pd121,16646787.600684285
Pd122,1030589.8725156453
Pd123,120192.29009424336
Pd124,12807.193600758932
Pd125,2.996316199453097e-11
Pm159,195579189.28725487
Pm160,14646875.800586166
Pm161,579310.1891883909
Pm162,2250.1412693088982
Pm163,44.93733553956793
Pr153,203326221551.8048
Pr154,14516498736.195198
Pr155,710560060.8433496
Pr156,36881708.2229899
Pr157,1218452.435957594
Pr158,6213.463633294716
Pr159,63.559193581104886
Rb100,2188856926.4620156
Rb101,62233.23357178115
Rb102,67.23367603914616
Rb91,405108395705446.3
Rb92,26774968698075.94
Rb93,25617963907057.3
Rb94,5513661224264.466
Rb95,360004027576.25336
Rb96,51338275902.454666
Rb97,7967572499.091789
Rb98,533884653.19523925
Rb99,3127706.7974046078
Rh115,4749373711.584464
Rh116,750139420.9855044
Rh117,253949198.11497176
Rh118,11942776.540529782
Rh119,392796.2083346963
Rh120,401323.71825811843
Rh121,2684.386144778709
Rh122,37.9992070587369
Rh123,0.5143446765254205
Ru114,1111948320.345347
Ru115,234770199.55767348
Ru116,6196774.141749273
Ru117,441723.91389247257
Ru118,10507.899401842447
Ru119,130.9972777698572
Ru120,55.7359129372574
Sb134,359732939196.2209
Sb134_m1,4472072410672.59
Sb135,300895773434.39276
Sb136,13113150805.932537
Sb137,41296860953.50925
Sb138,8130871.716480131
Sb139,219500.77865461307
Se86,22271679149455.742
Se87,5532029793398.203
Se88,644956907272.2953
Se89,24575859491.880634
Se90,2524632437.16776
Se91,221917317.3866368
Sm163,296037.24808424443
Sm164,9144.346422280643
Sm165,240.51360725269495
Sn133,248252291998.6712
Sn134,22936117772.38358
Sn135,410245394.5391926
Sn136,4845629.672238945
Sn137,4362875.791966808
Sr100,7893941982.872159
Sr101,653719633.7912871
Sr102,14736664.641843397
Sr103,172738.88120120962
Sr104,6954.184755233607
Sr105,1.8806539908488044e-14
Sr96,4961130463377.564
Sr97,926704118665.2786
Sr98,654273562469.3052
Sr99,48097985026.618546
Tb169,10343.181457847782
Tb170,839.6929915630857
Tb171,18.024287467128445
Tc109,31118464526.003338
Tc110,17649473115.709682
Tc111,1689418677.5954447
Tc112,240458370.83822447
Tc113,27652749.272949323
Tc114,1298906.1009348661
Tc115,8129.7151670317535
Tc116,701.0958344845488
Tc117,43.67959951981122
Tc118,0.04797234730760751
Te136,30388619720313.59
Te137,1206423141209.2927
Te138,114451405127.63666
Te139,2854763591.0540085
Te140,6347472799.285415
Te141,8522489.318338241
Te142,511101.051010464
Tl209,4.002230006101271e-22
Tl210,4.077365487389774e-29
Xe141,2679048459278.819
Xe142,663594211410.0221
Xe143,19610430719.953537
Xe144,8589932351.4011135
Xe145,16617802.94984711
Xe146,4828802.784258529
Xe147,220138.04910906692
Y100,543475559497.24316
Y101,156892341556.20285
Y102,119180305630.34586
Y103,733985922.6163298
Y104,126246198.91712192
Y105,50.7379673680571
Y106,0.00040574743032363917
Y107,2.3260112414894807e-05
Y108,5.445750919330623e-08
Y97,14180874182391.756
Y97_m1,2644046322938.704
Y98,1296303778702.9053
Y98_m1,2731839124581.418
Y99,3799905674857.039
Zn78,6482148990.155749
Zn79,2013324332.8200676
Zn80,161344668.26410353
Zn81,0.2524304275393841
Zn82,693325.5148423541
Zn83,3354.9893044243718
Zr103,804554741915.8392
Zr104,123452776833.91634
Zr105,85809398811.6788
Zr106,559987.5788901292
Zr107,28847.90085937884
Zr108,30.61662831556254
Zr109,55648.43138933438
Zr110,1123.9507357878279
