,Yield,Group,Data Source
0,0.0003381063173374081,1,Pulse
1,0.0025433849780802866,2,Pulse
2,0.0010168230704751904,3,Pulse
3,0.004350110449797851,4,Pulse
4,0.005004068354037586,5,Pulse
5,0.005291130281333657,6,Pulse
6,0.0003044480919248277,1,Static
7,0.0014867409541395773,2,Static
8,0.000647454103689004,3,Static
9,0.0020125459486764283,4,Static
10,0.0014555927660544253,5,Static
11,1.1201170284230161e-06,6,Static
12,0.0003044480919248277,1,Static-Pulse
13,0.0014867409541395773,2,Static-Pulse
14,0.000647454103689004,3,Static-Pulse
15,0.0020125459486764283,4,Static-Pulse
16,0.005004068354037586,5,Static-Pulse
17,0.005291130281333657,6,Static-Pulse
