,Yield,Group,Data Source
0,0.00033810634280484453,1,Pulse
1,0.002543385352760001,2,Pulse
2,0.0010168234714685394,3,Pulse
3,0.004350112810728396,4,Pulse
4,0.005004067964822061,5,Pulse
5,0.005291125112957446,6,Pulse
6,0.0003311135084521762,1,Static
7,0.0017985411486725828,2,Static
8,0.0008664921417055333,3,Static
9,0.005442894457647217,4,Static
10,0.013424109877882841,5,Static
11,0.013068475211885684,6,Static
12,0.0003311135084521762,1,Static-Pulse
13,0.0017985411486725828,2,Static-Pulse
14,0.0008664921417055333,3,Static-Pulse
15,0.005442894457647217,4,Static-Pulse
16,0.005004067964822061,5,Static-Pulse
17,0.005291125112957446,6,Static-Pulse
