,Half-life [s],Group,Data Source
0,55.0407269552518,1,Pulse
1,23.38860582919604,2,Pulse
2,11.264377348499423,3,Pulse
3,3.8097241737607574,4,Pulse
4,1.5702968237392758,5,Pulse
5,0.26690243975146904,6,Pulse
6,55.558546912145,1,Static
7,24.093560135850797,2,Static
8,14.17297474558321,3,Static
9,4.373833290410762,4,Static
10,1.6492722701910818,5,Static
11,0.37047226594508964,6,Static
12,55.558546912145,1,Static-Pulse
13,24.093560135850797,2,Static-Pulse
14,14.17297474558321,3,Static-Pulse
15,4.373833290410762,4,Static-Pulse
16,1.5702968237392758,5,Static-Pulse
17,0.26690243975146904,6,Static-Pulse
