,Half-life [s],Group,Data Source
0,55.04072924805001,1,Pulse
1,23.388611532038293,2,Pulse
2,11.26437477411621,3,Pulse
3,3.8097266488777777,4,Pulse
4,1.5702988860164786,5,Pulse
5,0.26690218388991793,6,Pulse
6,55.559836859965785,1,Static
7,24.078614916888863,2,Static
8,14.20631955968358,3,Static
9,4.370783152972441,4,Static
10,1.6470505765170262,5,Static
11,0.369965490988627,6,Static
12,55.559836859965785,1,Static-Pulse
13,24.078614916888863,2,Static-Pulse
14,14.20631955968358,3,Static-Pulse
15,4.370783152972441,4,Static-Pulse
16,1.5702988860164786,5,Static-Pulse
17,0.26690218388991793,6,Static-Pulse
