,Half-life [s],Group,Data Source
0,55.04072696308142,1,Pulse
1,23.388605841314064,2,Pulse
2,11.264377428730791,3,Pulse
3,3.8097242111143093,4,Pulse
4,1.570296865218102,5,Pulse
5,0.26690243282619647,6,Pulse
6,55.561163452136654,1,Static
7,24.051319975833817,2,Static
8,14.297660324380672,3,Static
9,4.369896868678438,4,Static
10,1.645043741890509,5,Static
11,0.36938286764738176,6,Static
12,55.561163452136654,1,Static-Pulse
13,24.051319975833817,2,Static-Pulse
14,14.297660324380672,3,Static-Pulse
15,4.369896868678438,4,Static-Pulse
16,1.570296865218102,5,Static-Pulse
17,0.26690243282619647,6,Static-Pulse
