,Half-life [s],Group,Data Source
0,55.04072830696405,1,Pulse
1,23.3886076100981,2,Pulse
2,11.264387632444373,3,Pulse
3,3.80972745018486,4,Pulse
4,1.5702992615239755,5,Pulse
5,0.26690221242572265,6,Pulse
6,55.56151452016659,1,Static
7,24.05209788934112,2,Static
8,14.298941406056443,3,Static
9,4.368825769691713,4,Static
10,1.6442239799274727,5,Static
11,0.36915560000112063,6,Static
12,55.56151452016659,1,Static-Pulse
13,24.05209788934112,2,Static-Pulse
14,14.298941406056443,3,Static-Pulse
15,4.368825769691713,4,Static-Pulse
16,1.5702992615239755,5,Static-Pulse
17,0.26690221242572265,6,Static-Pulse
