,Half-life [s],Group,Data Source
0,55.04072759667796,1,Pulse
1,23.388606655595783,2,Pulse
2,11.264382024085874,3,Pulse
3,3.8097255101683896,4,Pulse
4,1.5702976452421225,5,Pulse
5,0.2669023873764471,6,Pulse
6,55.56124170957401,1,Static
7,24.051820933190715,2,Static
8,14.29975182879204,3,Static
9,4.369975912020898,4,Static
10,1.6449169707958096,5,Static
11,0.36933575742314173,6,Static
12,55.56124170957401,1,Static-Pulse
13,24.051820933190715,2,Static-Pulse
14,14.29975182879204,3,Static-Pulse
15,4.369975912020898,4,Static-Pulse
16,1.5702976452421225,5,Static-Pulse
17,0.2669023873764471,6,Static-Pulse
