,Half-life [s],Group,Data Source
0,55.04072736837471,1,Pulse
1,23.388606373588285,2,Pulse
2,11.264380488076942,3,Pulse
3,3.80972517843596,4,Pulse
4,1.5702975835482842,5,Pulse
5,0.26690236550881846,6,Pulse
6,55.56123438651015,1,Static
7,24.05161826546987,2,Static
8,14.298728552399803,3,Static
9,4.369809873197332,4,Static
10,1.6449008730004426,5,Static
11,0.3693382647191993,6,Static
12,55.56123438651015,1,Static-Pulse
13,24.05161826546987,2,Static-Pulse
14,14.298728552399803,3,Static-Pulse
15,4.369809873197332,4,Static-Pulse
16,1.5702975835482842,5,Static-Pulse
17,0.26690236550881846,6,Static-Pulse
