,Half-life [s],Group,Data Source
0,55.04072733225795,1,Pulse
1,23.388606325414752,2,Pulse
2,11.264380192342678,3,Pulse
3,3.809725077794533,4,Pulse
4,1.5702975186073096,5,Pulse
5,0.26690236890057273,6,Pulse
6,55.56129440291187,1,Static
7,24.051848409122076,2,Static
8,14.299597371844614,3,Static
9,4.3697883341200345,4,Static
10,1.6447905424131462,5,Static
11,0.36930222943527813,6,Static
12,55.56129440291187,1,Static-Pulse
13,24.051848409122076,2,Static-Pulse
14,14.299597371844614,3,Static-Pulse
15,4.3697883341200345,4,Static-Pulse
16,1.5702975186073096,5,Static-Pulse
17,0.26690236890057273,6,Static-Pulse
