,Half-life [s],Group,Data Source
0,55.04072723516229,1,Pulse
1,23.38860620141724,2,Pulse
2,11.26437950168426,3,Pulse
3,3.8097248897757736,4,Pulse
4,1.570297407891438,5,Pulse
5,0.26690237509721604,6,Pulse
6,55.56121981978513,1,Static
7,24.051583911030402,2,Static
8,14.298726669868286,3,Static
9,4.369892565277308,4,Static
10,1.6449423118381217,5,Static
11,0.3693486934280317,6,Static
12,55.56121981978513,1,Static-Pulse
13,24.051583911030402,2,Static-Pulse
14,14.298726669868286,3,Static-Pulse
15,4.369892565277308,4,Static-Pulse
16,1.570297407891438,5,Static-Pulse
17,0.26690237509721604,6,Static-Pulse
