,Half-life [s],Group,Data Source
0,55.04072676645828,1,Pulse
1,23.38860558015957,2,Pulse
2,11.264375912128745,3,Pulse
3,3.80972371884003,4,Pulse
4,1.5702964892488107,5,Pulse
5,0.26690247017662244,6,Pulse
6,55.561196822741096,1,Static
7,24.0515044418104,2,Static
8,14.29847050173636,3,Static
9,4.369720394133615,4,Static
10,1.644909374227459,5,Static
11,0.36935249840916806,6,Static
12,55.561196822741096,1,Static-Pulse
13,24.0515044418104,2,Static-Pulse
14,14.29847050173636,3,Static-Pulse
15,4.369720394133615,4,Static-Pulse
16,1.5702964892488107,5,Static-Pulse
17,0.26690247017662244,6,Static-Pulse
