Half-life [s],Group,Data Source
52.1, 1, Brady and England
21.2, 2, Brady and England
5.74, 3, Brady and England
2.29, 4, Brady and England
0.816, 5, Brady and England
0.243, 6, Brady and England
54.5, 1, Keepin
21.8, 2, Keepin
6.00, 3, Keepin
2.23, 4, Keepin
0.496, 5, Keepin
0.179, 6, Keepin
49, 1, Seifert
19.2, 2, Seifert
3.64, 3, Seifert
1.28, 4, Seifert
0.320, 5, Seifert
0.098, 6, Seifert
