,Half-life [s],Group,Data Source
0,55.040727251788056,1,Pulse
1,23.388606220698847,2,Pulse
2,11.264379619169265,3,Pulse
3,3.8097249026350597,4,Pulse
4,1.5702973752364804,5,Pulse
5,0.2669023836361044,6,Pulse
6,55.56123396859903,1,Static
7,24.05163777850194,2,Static
8,14.298832131125815,3,Static
9,4.3694063138610755,4,Static
10,1.644698913412879,5,Static
11,0.3693111862735039,6,Static
12,55.56123396859903,1,Static-Pulse
13,24.05163777850194,2,Static-Pulse
14,14.298832131125815,3,Static-Pulse
15,4.3694063138610755,4,Static-Pulse
16,1.5702973752364804,5,Static-Pulse
17,0.2669023836361044,6,Static-Pulse
