,Half-life [s],Group,Data Source
0,55.04072794898477,1,Pulse
1,23.388607118608697,2,Pulse
2,11.264384710099486,3,Pulse
3,3.8097263617719577,4,Pulse
4,1.570298255417629,5,Pulse
5,0.26690233547775294,6,Pulse
6,55.538034336647875,1,Static
7,24.107387424196265,2,Static
8,14.700277469409812,3,Static
9,4.518474947989394,4,Static
10,1.7057411459784533,5,Static
11,0.383304218716565,6,Static
12,55.538034336647875,1,Static-Pulse
13,24.107387424196265,2,Static-Pulse
14,14.700277469409812,3,Static-Pulse
15,4.518474947989394,4,Static-Pulse
16,1.570298255417629,5,Static-Pulse
17,0.26690233547775294,6,Static-Pulse
