,Half-life [s],Group,Data Source
0,55.040728412315985,1,Pulse
1,23.388607718402188,2,Pulse
2,11.26438811142071,3,Pulse
3,3.8097273467319908,4,Pulse
4,1.5702988881441393,5,Pulse
5,0.2669022897981818,6,Pulse
6,55.55864503161903,1,Static
7,24.09385679089078,2,Static
8,14.173631838361306,3,Static
9,4.3735791925771075,4,Static
10,1.6490539189499076,5,Static
11,0.3704099028526084,6,Static
12,55.55864503161903,1,Static-Pulse
13,24.09385679089078,2,Static-Pulse
14,14.173631838361306,3,Static-Pulse
15,4.3735791925771075,4,Static-Pulse
16,1.5702988881441393,5,Static-Pulse
17,0.2669022897981818,6,Static-Pulse
