,Half-life [s],Group,Data Source
0,55.04072738865642,1,Pulse
1,23.388606399051337,2,Pulse
2,11.2643806439419,3,Pulse
3,3.80972521995494,4,Pulse
4,1.5702975975603248,5,Pulse
5,0.26690236700077025,6,Pulse
6,55.56120227782596,1,Static
7,24.051489671334572,2,Static
8,14.298263646565418,3,Static
9,4.369846573322275,4,Static
10,1.6449648793920315,5,Static
11,0.36935829284855654,6,Static
12,55.56120227782596,1,Static-Pulse
13,24.051489671334572,2,Static-Pulse
14,14.298263646565418,3,Static-Pulse
15,4.369846573322275,4,Static-Pulse
16,1.5702975975603248,5,Static-Pulse
17,0.26690236700077025,6,Static-Pulse
