,Half-life [s],Group,Data Source
0,55.04072758026793,1,Pulse
1,23.38860665459574,2,Pulse
2,11.26438213649342,3,Pulse
3,3.8097257088602126,4,Pulse
4,1.5702979757943925,5,Pulse
5,0.2669023306265744,6,Pulse
6,55.63866864140826,1,Static
7,24.571795454773177,2,Static
8,16.406468368033597,3,Static
9,5.835743672348939,4,Static
10,3.4195829817913403,5,Static
11,1.9321013661413358,6,Static
12,55.63866864140826,1,Static-Pulse
13,24.571795454773177,2,Static-Pulse
14,16.406468368033597,3,Static-Pulse
15,5.835743672348939,4,Static-Pulse
16,1.5702979757943925,5,Static-Pulse
17,0.2669023306265744,6,Static-Pulse
