Ag120,160418280201.8363,655394803345.3113,509246636836.6307,323352091353.16864,192359037232.88608,111559495501.80057,64015613919.485466,36566354615.26495,20845597449.055534,11873247418.54257,6760194365.815762,3848364616.7727466,2190591267.2870684,1246902472.7842398,709737037.8090878,403979894.57900274,229943346.14469758,130882451.57630688,74497511.62425515,42403529.93585987,24135828.553279176,13737964.618052255,7819564.5004891595,4450847.716568617,2533394.9633497917,1441992.7255134212,820773.3294639674,467179.09613831795,265915.448276593,151357.42633234736,86151.7097024791,49037.01961920496,27911.567877479898,15887.091577487796,9042.834135981087,5147.125187262199,2929.711780063457,1667.5738012906847,949.1726802869074,540.2632113227662,307.5144739949293,175.03533413805275,99.62902818462092,56.708225832752554,32.27797094576968,18.372421162472833,10.457468343917636,5.952326217483703,3.3880272197956094,1.9284441112047286,1.0976584451008473,0.6247803890715392,0.35562112814840224,0.20241734375414508,0.11521469847929176,0.06557949284127133,0.037327441186606435,0.021246548351814783,0.012093403740408994,0.006883490513697789,0.0039180401704313715,0.002230124200297237
Ag120_m1,158242648998.31238,18138643617.35877,2079151191.9208257,238323756.17815113,27317981.00088609,3131337.378750118,358931.12961897184,41142.662136577135,4715.998440930622,540.5737047600384,61.96353411438542,7.1026014142677525,0.8141392767693427,0.0933211260661518,0.010696981239884253,0.001226146880882297,0.00014054770591648286,1.6110351823569488e-05,1.8466572199578708e-06,2.1167401713930823e-07,2.4263241194765053e-08,2.7811862846062123e-09,3.187948834861592e-10,3.654202463872126e-11,4.188648042574014e-12,4.801258988252129e-13,5.503467380874964e-14,6.308377299884207e-15,7.231009362567977e-16,8.288581027407087e-17,9.500827893202282e-18,1.0890371989822763e-18,1.2483143933337968e-19,1.4308866823470978e-20,1.6401610913500082e-21,1.88004294034368e-22,2.1550087221169403e-23,2.4701896391532084e-24,2.8314673582322245e-25,3.2455837696262487e-26,3.7202667991334106e-27,4.2643746207567984e-28,4.8880609612167127e-29,5.602964581083298e-30,6.422426468482436e-31,7.361738798478867e-32,8.438430304027273e-33,9.67259338386729e-34,1.1087259051601322e-34,1.2708826722970004e-35,1.456755686168883e-36,1.6698135677228266e-37,1.9140322412498104e-38,2.1939691300627192e-39,2.5148482036671855e-40,2.882657463511017e-41,3.304260686517156e-42,3.787525511673094e-43,4.341470259931335e-44,4.976432227262338e-45,5.704260591416986e-46,6.5385375322780585e-47
Ag121,933997856607.546,392786444224.3611,162283831841.27942,66800094507.29202,27474806539.205585,11298446026.989733,4646084332.293927,1910522285.175939,785627018.1289257,323058044.83199733,132844836.11547233,54627180.72163997,22463265.796373315,9237128.90180461,3798403.6296691652,1561943.1412916172,642287.2907856159,264115.2248109102,108606.93178526315,44660.301731006904,18364.781307404428,7551.789383335768,3105.374462981995,1276.9623285072425,525.100211863271,215.92667719585626,88.79129901586066,36.51190711267648,15.01407655683224,6.173944684915015,2.5387903696977423,1.043977047124892,0.4292942371029107,0.17653026234371114,0.0725910828280443,0.029850209455238568,0.01227471708380933,0.005047491533132914,0.0020755810991891187,0.0008535005697448236,0.00035096832537130537,0.00014432183150242766,5.934664054421267e-05,2.4403956818028203e-05,1.0035161264646552e-05,4.126562850376295e-06,1.6968856313347443e-06,6.977770484139712e-07,2.8693319119587983e-07,1.1798991726223547e-07,4.8518683103640484e-08,1.9951387921389287e-08,8.204218551016093e-09,3.3736601332219323e-09,1.3872841908973047e-09,5.704657109237582e-10,2.3458144299132967e-10,9.646233304151895e-11,3.966631621477766e-11,1.6311202439749294e-11,6.707336360399522e-12,2.7581265831085447e-12
Ag122,120944533312.30719,33268566204.973625,8986165975.94649,2424163060.677948,653898050.3783664,176382483.70070007,47577394.996968456,12833521.690213276,3461712.8241972323,933762.0616844657,251872.88260496946,67940.1654811832,18326.173257949362,4943.300092096433,1333.405259055802,359.6725976074812,97.01804953230524,26.169638714942913,7.058995658767567,1.9040927638808647,0.513609786536752,0.1385410510613301,0.03737004888205077,0.0100801931467132,0.002719030263935466,0.0007334309440893603,0.00019783558751907215,5.336415105530073e-05,1.4394440623977332e-05,3.882754935283981e-06,1.0473339173986275e-06,2.8250774329473075e-07,7.620360965652237e-08,2.0555153840952915e-08,5.544545085589372e-09,1.4955850218393727e-09,4.034189501612671e-10,1.0881818617644478e-10,2.935260636119788e-11,7.917569024707144e-12,2.135684255414916e-12,5.760792516735749e-13,1.5539155817033998e-13,4.191530293871498e-14,1.1306229509059608e-14,3.0497411863737136e-15,8.226368743365223e-16,2.2189798598051815e-16,5.985473994455026e-17,1.6145211404236365e-17,4.3550076657081446e-18,1.1747193203924339e-18,3.168686688129794e-19,8.547212217618716e-20,2.3055241455925953e-20,6.218918462037864e-21,1.6774904271295179e-21,4.524860954985196e-22,1.220535529194333e-22,3.292271282688651e-23,8.88056917603304e-24,2.3954438173121323e-24
Ag122_m1,120611007680.10255,3769093990.003208,117784187.18760031,3680755.8496125145,115023.62030039125,3594.4881343872303,112.32775419960102,3.510242318737538,0.10969507246054819,0.00342797101439214,0.00010712409419975448,3.3476279437423327e-06,1.0461337324194803e-07,3.2691679138108796e-09,1.0216149730659006e-10,3.1925467908309456e-12,9.976708721346714e-14,3.1177214754208524e-15,9.742879610690176e-17,3.044649878340684e-18,9.51453086981465e-20,2.973290896817083e-21,9.291534052553406e-23,2.9036043914229467e-24,9.073763723196723e-26,2.8355511634989775e-27,8.861097385934314e-29,2.7690929331044772e-30,8.653415415951505e-32,2.704192317484849e-33,8.450600992140162e-35,2.6408128100438038e-36,8.252540031386903e-38,2.5789187598084135e-39,8.059121124401299e-41,2.518475351375411e-42,7.870235473048177e-44,2.459448585327559e-45,7.68577682914864e-47,2.4018052591089537e-48,7.5056414347155e-50,2.3455129483485983e-51,7.329727963589378e-53,2.2905399886216847e-54,7.157937464442776e-56,2.2368554576383713e-57,6.990173305119922e-59,2.184429157849979e-60,6.826341118281194e-62,2.1332315994628773e-63,6.666348748321507e-65,2.0832339838504743e-66,6.510106199532747e-68,2.0344081873539873e-69,6.3575255854812216e-71,1.9867267454628868e-72,6.2085210795715306e-74,1.9401628373661055e-75,6.0630088667690874e-77,1.8946902708653425e-78,5.920907096454201e-80,1.8502834676419404e-81
Ag123,99449555342.98236,9897917404.973156,983822637.0924323,97714104.72214098,9700686.741112849,962793.1326648665,95542.37574251655,9480.241837342262,940.6313688825868,93.32666968083647,9.259424611044048,0.9186656498418717,0.09114401551711203,0.009042680632940264,0.0008971504075493254,8.900876080588078e-05,8.830797283851015e-06,8.761266253593564e-07,8.692280365406654e-08,8.623836312644487e-09,8.555930404338593e-10,8.488558739012498e-11,8.421717306047158e-12,8.355402044750605e-13,8.289608878735907e-14,8.224333735884686e-15,8.159572559896258e-16,8.095321316925167e-17,8.031575999352115e-18,7.968332627882248e-19,7.905587252667594e-20,7.843335953860732e-21,7.781574841837182e-22,7.720300057225121e-23,7.659507770823505e-24,7.599194183455707e-25,7.539355525786404e-26,7.479988058117675e-27,7.42108807017379e-28,7.362651880880125e-29,7.30467583813944e-30,7.2471563186072626e-31,7.190089727467636e-32,7.133472498209692e-33,7.077301092405462e-34,7.021571999489206e-35,6.966281736538214e-36,6.911426848055312e-37,6.857003905752985e-38,6.803009508339151e-39,6.749440281304632e-40,6.696292876712262e-41,6.643563972987673e-42,6.591250274711697e-43,6.539348512414413e-44,6.48785544237083e-45,6.436767846398167e-46,6.38608253165471e-47,6.335796330440272e-48,6.2859060999982224e-49,6.236408722319063e-50,6.187301103945586e-51
Ag124,199195335431.74503,3543033037.477849,62979732.07830585,1119505.9738465864,19899.951684772343,353.73467074552764,6.287865381261038,0.11177092414926063,0.0019868013590770566,3.531669502140961e-05,6.277773777275012e-07,1.1159153931197567e-08,1.9836126816035298e-10,3.5260015151624724e-12,6.267700246982556e-14,1.1141277237600324e-15,1.9804871294821074e-17,3.5213622889444557e-19,6.275566608621963e-21,1.1438493704074795e-22,2.5311890943718763e-24,1.3251860689743735e-25,1.7740821127906077e-26,3.0197786313011833e-27,5.290640475218482e-28,9.296805239127011e-29,1.6341434033660884e-29,2.8724987091533904e-30,5.049296325296364e-31,8.875687655067934e-32,1.5601745027353532e-32,2.7424855192586086e-33,4.820759993566337e-34,8.473965223564848e-35,1.4895594617084542e-35,2.6183579132420815e-36,4.602567630280682e-37,8.09042517990896e-38,1.4221405278451775e-38,2.4998484454960587e-39,4.394250869088089e-40,7.724244537812273e-41,1.3577730415811318e-41,2.3867028334224954e-42,4.19536273045571e-43,7.37463759359481e-44,1.2963188913811597e-44,2.2786783036107645e-45,4.005476465605024e-46,7.040854205305265e-47,1.2376462167747814e-47,2.1755430708148285e-48,3.824184640829137e-49,6.722178183158676e-50,1.1816291254267788e-50,2.0770758406180358e-51,3.651098263273517e-52,6.417925752827782e-53,1.128147423013479e-53,1.9830653346078158e-54,3.4858459462848226e-55,6.127444088287395e-56
Ag125,598912.9805715139,9203.012609412532,141.41527039252972,2.1730143757531013,0.033390958875432246,0.0005130919285382053,7.884269930361694e-06,1.2115124941585257e-07,1.8616394718005533e-09,2.8607359353623895e-11,4.397703318735925e-13,6.7899605118808474e-15,1.1002491713185823e-16,2.690693083042164e-18,2.171314883278795e-19,3.423622999115087e-20,5.957659153140581e-21,1.046313185616762e-21,1.839073909026218e-22,3.232714905569696e-23,5.682485228061985e-24,9.988711276973862e-25,1.7558225615714865e-25,3.086397028586334e-26,5.425290020753935e-27,9.536612282089791e-28,1.6763522958449758e-28,2.946703647649602e-29,5.179736030781591e-30,9.104975781998758e-31,1.6004789336393046e-31,2.813332927351167e-32,4.945296057175116e-33,8.692875576634203e-34,1.5280396748179457e-34,2.6859986977080256e-35,4.7214670685489645e-36,8.299427433979933e-37,1.4588790884666192e-37,2.564427741185237e-38,4.50776880123255e-39,7.923787143237657e-40,1.3928487786279267e-40,2.4483592063436145e-41,4.303742728763841e-42,7.565148703424421e-43,1.3298070658922173e-43,2.337544048138005e-44,4.1089510780417864e-45,7.222742593958585e-46,1.2696186833999851e-46,2.2317444935482007e-47,3.9229758900086865e-48,6.89583412352085e-49,1.2121544866035176e-49,2.1307335313959641e-50,3.745418122847003e-51,6.583721853647325e-52,1.1572911761650083e-52,2.03429442525342e-53,3.5758967957663696e-54,6.2857360936725e-55
Ag126,170884.5103204294,262.62632274969974,0.4036210495128983,0.0006203108275827987,9.533336362928234e-07,1.4651445399217786e-09,2.2517285042098744e-12,3.4606014072454113e-15,5.318475152505649e-18,8.173775196587971e-21,1.2561984224534885e-23,1.9306066519095885e-26,2.967080660010584e-29,4.560000678699158e-32,7.008102769158493e-35,1.0770503752884892e-37,1.6552803934528611e-40,2.543941531254342e-43,3.9096932097051255e-46,6.008668362152741e-49,9.234508579014138e-52,1.4192187612320418e-54,2.1811468092740063e-57,3.352126912045755e-60,5.151764561048315e-63,7.917563621204286e-66,1.2168221771971164e-68,1.8700907018332447e-71,2.8740758498820775e-74,4.4170648957175254e-77,6.78842985086166e-80,1.0432896262119273e-82,1.603394699620068e-85,2.4642002548269362e-88,3.78714167966751e-91,5.820323276803714e-94,8.945047719861705e-97,1.3747325518754264e-99,2.1127775372171407e-102,3.247052610836718e-105,4.990279606734551e-108,7.669383141585025e-111,1.178680202469011e-113,1.8114716582085692e-116,2.783986327775094e-119,4.2786095151516155e-122,6.575642703596218e-125,1.01058712678121e-127,1.5531353920086935e-130,2.3869585135060227e-133,3.6684315961856496e-136,5.6378819739630325e-139,8.664660173952093e-142,1.33164078774246e-144,2.0465513384012437e-147,3.1452719226274926e-150,4.833856489032427e-153,7.428982018521726e-156,1.141733809366075e-158,1.754690061437194e-161,2.6967207123488624e-164,4.14449409627072e-167
Ag127,56850.11711761382,98.39845608960387,0.17031198266112035,0.00029478279020504197,5.102218413719811e-07,8.831123663357011e-10,1.528526198482473e-12,2.645634268651085e-15,4.579169588594536e-18,7.925809840602149e-21,1.3718308617756728e-23,2.374419713780579e-26,4.1097405914110225e-29,7.113303360255128e-32,1.2311989910206079e-34,2.131008448142152e-37,3.688434639057635e-40,6.384090170295144e-43,1.1049838560477271e-45,1.9125502453071656e-48,3.310318445653839e-51,5.729631542242753e-54,9.91707539586238e-57,1.7164870669628148e-59,2.9709644561942908e-62,5.142264086840956e-65,8.9004363157837e-68,1.540523109539229e-70,2.666399002053249e-73,4.615110019529062e-76,7.988016975687496e-79,1.382597921476696e-81,2.3930557712756468e-84,4.141996624961808e-87,7.169133393013115e-90,1.2408622763493837e-92,2.1477340488148416e-95,3.7173839775428874e-98,6.434196843002099e-101,1.1136565193316929e-103,1.9275612377306574e-106,3.336300071615814e-109,5.774601579438398e-112,9.994911334549878e-115,1.7299592224894076e-117,2.9942826017184817e-120,5.182624065584819e-123,8.970292980950961e-126,1.5526141804965775e-128,2.687326711176724e-131,4.651332535359277e-134,8.050712354590598e-137,1.3934494883701387e-139,2.4118380971987193e-142,4.1745058257569146e-145,7.225401617761491e-148,1.2506014057001442e-150,2.1645909233537136e-153,3.746560530085244e-156,6.484696786885169e-159,1.1223972515634767e-161,1.942690046611048e-164
