Ag120,5080935189.492112,3841714885.4999304,2418748394.55226,1434137733.285411,830581985.8647887,476323945.9611212,272010168.22149915,155048778.84847862,88308361.4209636,50278460.205558114,28621659.95685824,16292139.519548189,9273601.896038368,5278531.011865872,3004520.722779451,1710157.9784735409,973412.1777836258,554060.3950736555,315367.79851214174,179505.41106032644,102173.37159608642,58156.451172957866,33102.2920473745,18841.619680156433,10724.533247334963,6104.337909789392,3474.551334444668,1977.693101614812,1125.6906654901504,640.7361553241486,364.7030514873055,207.58671827441606,118.15707444210896,67.25427501700442,38.28071682899629,21.78914694375968,12.402247498591642,7.059282468163336,4.01809986222064,2.287077557186633,1.301790381510318,0.7409710230716436,0.4217561174440793,0.24006097008236876,0.1366412174555572,0.07777533474654623,0.04426923886933878,0.025197776601760022,0.01434241839002931,0.008163615723947753,0.004646679512195626,0.0026448612011121626,0.001505438615852181,0.0008568863368504686,0.0004877343961748827,0.00027761539772758626,0.00015801696509386932,8.994227792068888e-05,5.119458757328262e-05,2.913964219484856e-05,1.6586103873350378e-05,9.44070760574411e-06,5.373592302189715e-06,3.0586154593521735e-06,1.7409449772317003e-06,9.909350992393923e-07,5.640341215527668e-07,3.210447288828405e-07,1.8273667142638302e-07,1.0401258167418768e-07,5.920331733134325e-08,3.36981615744815e-08,1.9180784872990092e-08,1.091758396168787e-08,6.214221177588504e-09,3.5370962091524186e-09,2.013293256751357e-09,1.14595405326896e-09,6.522699501425599e-10,3.712680160651441e-10,2.1132345545402166e-10,1.202840021026536e-10,6.846490906911699e-11,3.896980223390028e-11,2.21813700886711e-11,1.2625498483607518e-11,7.186355546224316e-12,4.090429071279941e-12,2.328246895043038e-12,1.3252237136534286e-12,7.543091306031443e-13,4.29348085647124e-13,2.443822713659219e-13,1.391008753840174e-13,7.917535680658253e-14,4.506612275547141e-14,2.5651357974585907e-14,1.460059409837884e-14,8.310567738239064e-15,4.7303236886455574e-15,2.6924709483328963e-15,1.53253778911954e-15,8.723110184470669e-16,4.965140294134732e-16,2.826127105940747e-16,1.6086140462874686e-16,9.156131528811695e-17,5.211613361600464e-17,2.966418049516321e-17,1.6884667825385026e-17,9.610648358213611e-18,5.4703215260397226e-18,3.113673134516366e-18,1.7722834649589066e-18,1.0087727723721473e-18,5.741872146299031e-19,3.2682380658349077e-19,1.860260866633379e-19,1.0588489645547071e-19,6.026902730946573e-20,3.4304757094008135e-20,1.9526055286013778e-20
Ag120_m1,174627737.01929954,20016792.612797484,2294434.9697405854,263000.7680152883,30146.59595449414,3455.5687973910876,396.0963198474412,45.40274084982428,5.2043121164828445,0.5965469066142286,0.06837949066581087,0.007838033676603087,0.0008984385715274256,0.00010298397533270978,1.180459022067312e-05,1.3531071200914467e-06,1.5510058750161065e-07,1.777848323029961e-08,2.037867625528898e-09,2.33591606515738e-10,2.6775555954200793e-11,3.0691616336318784e-12,3.5180420341113566e-13,4.032573461805125e-14,4.622357711243947e-15,5.298400887936237e-16,6.073318795945936e-17,6.961572364441692e-18,7.979737506568668e-19,9.146814446544285e-20,1.0484582287405004e-20,1.2018005436078087e-21,1.3775699470174154e-22,1.5790465140152685e-23,1.809990047200303e-24,2.0747102393036164e-25,2.378147097399434e-26,2.7259631295634165e-27,3.1246490142956387e-28,3.5816447246307395e-29,4.1054783672613366e-30,4.705925327584948e-31,5.394190690518329e-32,6.183118341277887e-33,7.0874306482059775e-34,8.124003200421979e-35,9.3121797272433e-36,1.067413307616335e-36,1.2235278985683133e-37,1.4024750374510728e-38,1.6075940997953202e-39,1.8427128616803547e-40,2.112218930782669e-41,2.421141624576443e-42,2.7752458236346544e-43,3.1811395514498204e-44,3.646397288347224e-45,4.179701320681193e-46,4.791003763065696e-47,5.491712277175053e-48,6.294902952857819e-49,7.215564324189553e-50,8.270877074106498e-51,9.480534647255601e-52,1.0867110754094196e-52,1.2456480624321678e-53,1.427830387075453e-54,1.636657797448353e-55,1.8760272720032392e-56,2.150405741986499e-57,2.4649134499152e-58,2.8254194996522667e-59,3.2386513811630595e-60,3.7123205138211483e-61,4.2552661510570435e-62,4.877620331789115e-63,5.59099695683491e-64,6.408708518703279e-65,7.346014529213905e-66,8.420406280911764e-67,9.65193325627762e-68,1.1063577275935258e-68,1.268168136792494e-69,1.4536441361275657e-70,1.666246937762174e-71,1.909943973631644e-72,2.189282932643266e-73,2.5094766261910688e-74,2.876500265681034e-75,3.2972029673860244e-76,3.779435565449279e-77,4.332197118185656e-78,4.9658028416698396e-79,5.692076604460609e-80,6.524571575651365e-81,7.478823143813219e-82,8.57263882661174e-83,9.826430581170393e-84,1.1263595716504095e-84,1.291095351632135e-85,1.4799245720117806e-86,1.6963710202159312e-87,1.9444738553915517e-88,2.2288629841247854e-89,2.5548454602395713e-90,2.928504521003483e-91,3.35681310787919e-92,3.847763990259573e-93,4.4105189204567093e-94,5.0555796033618784e-95,5.794983671282386e-96,6.642529321088747e-97,7.614032805679951e-98,8.727623584876903e-99,1.0004082643625707e-99,1.1467230290948072e-100,1.3144370676448075e-101,1.506680131960475e-102,1.7270397160298782e-103,1.9796280029680572e-104,2.2691586034536215e-105,2.6010345175495455e-106
Ag121,2554237382.911706,1058900090.722911,436183819.4778984,179429490.23311424,73789087.85153987,30343352.22730391,12477547.388697324,5130901.408480089,2109880.4550613146,867604.852600286,356768.1560809474,146706.78254303342,60327.35727726333,24807.23775679993,10200.994587889729,4194.755240427957,1724.9270524994688,709.3079729103073,291.6748274688119,119.93972749227318,49.32046538180905,20.281089146504296,8.339795129349348,3.4294106345618656,1.4102093778128073,0.579892786599834,0.2384579547131323,0.09805639504394979,0.04032181111585128,0.016580748771496942,0.006818176619934131,0.0028037052524751247,0.001152912806596162,0.00047408975620386897,0.00019495064644222697,8.016573665831092e-05,3.2964986016982227e-05,1.3555545653270976e-05,5.574181583552071e-06,2.292161534560833e-06,9.425607009329311e-07,3.875907790736905e-07,1.593813659685349e-07,6.553927799496602e-08,2.6950433847765074e-08,1.1082299146453058e-08,4.557156855627354e-09,1.873950371880929e-09,7.705879142466426e-10,3.1687377771214607e-10,1.3030179833501585e-10,5.358145685618321e-11,2.203325322839779e-11,9.060303252480157e-12,3.725691080475625e-12,1.532042983587324e-12,6.29992034460224e-13,2.5905928732756733e-13,1.065278776233548e-13,4.38053730016915e-14,1.8013225707940198e-14,7.40722605860857e-15,3.0459285179080715e-15,1.252517536632121e-15,5.150482587977607e-16,2.1179320938204113e-16,8.70915739916295e-17,3.5812962476324965e-17,1.4726663241313455e-17,6.055757335529642e-18,2.4901905004483774e-18,1.0239922746146483e-18,4.2107629046118375e-19,1.7315095707658075e-19,7.120147729927735e-20,2.9278789186000975e-20,1.2039743116495527e-20,4.950867790000988e-21,2.0358484094637254e-21,8.371620738260825e-22,3.442497656480228e-22,1.415590897555856e-22,5.821057235785815e-23,2.393679374514158e-23,9.843058942541063e-24,4.047568374356835e-24,1.664402279893723e-24,6.844195559156222e-25,2.8144045113279253e-25,1.1573124532928294e-25,4.758989367575692e-26,1.95694600332517e-26,8.047165824791994e-27,3.3090784161477995e-27,1.3607275160752982e-27,5.595453295905665e-28,2.300908684272468e-28,9.461576200152261e-29,3.8906986967018103e-29,1.59989583429805e-29,6.578938335096753e-30,2.705327977555219e-30,1.1124590463326465e-30,4.57454748568311e-31,1.8811015801216513e-31,7.735285655708453e-32,3.180830041700322e-32,1.3079904485126133e-32,5.3785929803583415e-33,2.211733463440578e-33,9.094878402524058e-34,3.7399087423501793e-34,1.537889434258468e-34,6.323961558798856e-35,2.6004788709956317e-35,1.0693440014804819e-35,4.397253929867471e-36,1.8081966230665643e-36,7.435492877637536e-37,3.057552128354092e-37,1.2572972863330826e-37,5.170137416664387e-38
Ag122,223535292.1590684,60686650.69353277,16377061.556354135,4417689.802247745,1191629.9729174708,321430.202792258,86702.55115199972,23387.137277101327,6308.444008096673,1701.6390387919155,458.9999395312522,123.81059653990668,33.39665759259732,9.008410988451935,2.4299278546618623,0.6554484899091181,0.1768006083390177,0.047690177932030835,0.012863943696549137,0.003469918851295413,0.0009359755545109545,0.00025246994992837827,6.810121835942869e-05,1.83696156447698e-05,4.955018237054081e-06,1.3365661102729186e-06,3.6052520529009384e-07,9.72480318410313e-08,2.6231674119274393e-08,7.07572908235953e-09,1.9086064358416675e-09,5.148273039478045e-10,1.388694640827214e-10,3.745863497670554e-11,1.010408835078562e-11,2.725475753827392e-12,7.351695498707149e-13,1.9830455886394178e-13,5.349065133769215e-14,1.4428562797155217e-14,3.891959046771883e-15,1.0498166334859075e-15,2.8317743087708353e-16,7.63842511161945e-17,2.0603880049729033e-17,5.557688488139381e-18,1.499130321893095e-18,4.043752590335776e-19,1.090761408334277e-19,2.9422187023874834e-20,7.936337705510156e-21,2.1407469174467637e-21,5.774448536099981e-22,1.5575991549639318e-22,4.20146636060061e-23,1.133303104524818e-23,3.0569706299921064e-24,8.245869437155237e-25,2.224239974944945e-25,5.999662623629719e-26,1.618348379799731e-26,4.365331257269802e-27,1.1775040049198145e-27,3.176198093313462e-28,8.567473474245267e-29,2.3109894148737581e-29,6.2336604737828266e-30,1.681466935863271e-30,4.535587185558865e-31,1.223428821527453e-31,3.300075646455957e-32,8.901620658842166e-33,2.4011222421226126e-33,6.476784669417525e-34,1.7470472314195395e-34,4.712483407426862e-35,1.2711447902429686e-35,3.4287846514543264e-36,9.248800196712132e-37,2.4947704150046342e-37,6.729391154752085e-38,1.8151852788254058e-38,4.896278906506589e-39,1.3207217692848674e-39,3.562513543795413e-40,9.609520373543802e-41,2.5920710384492645e-41,6.991849756482353e-42,1.88598083509582e-42,5.087242767267704e-43,1.3722323414703568e-43,3.7014581082957934e-44,9.984309299100306e-45,2.6931665647297567e-45,7.264544725223875e-46,1.959537547952351e-46,5.28565456896788e-47,1.4257519204796773e-47,3.845821765739083e-48,1.0373715680394418e-48,2.798205002019373e-49,7.547875298071157e-50,2.0359631075678556e-50,5.49180479496878e-51,1.4813588612649684e-51,3.995815870692689e-52,1.0778309625019124e-52,2.9073401310816923e-53,7.842256283097935e-54,2.115369404229535e-54,5.705995258016152e-55,1.5391345747652662e-55,4.151660020939944e-56,1.119868347580963e-56,3.0207317304122213e-57,8.148118666653834e-58,2.197872692151065e-58,5.928539542106542e-59,1.599163647095585e-59,4.313582378980597e-60,1.1635452678058384e-60,3.1385458101609364e-61
Ag122_m1,83322284.40748519,2603821.3877339163,81369.41836668499,2542.794323958912,79.46232262371619,2.483197581991137,0.07759992443722316,0.0024249976386632277,7.578117620822597e-05,2.3681617565070646e-06,7.400505489084589e-08,2.312657965338938e-09,7.2270561416842e-11,2.258455044276316e-12,7.057672013363504e-14,2.2055225041760998e-15,6.892257825550316e-17,2.153830570484477e-18,6.730720532763997e-20,2.103350166488753e-21,6.572969270277364e-23,2.0540528969616793e-24,6.418915303005258e-26,2.005911032189147e-27,6.268471975591094e-29,1.9588974923722167e-30,6.121554663663177e-32,1.912985832394743e-33,5.978080726233572e-35,1.868150226947991e-36,5.837969459212472e-38,1.8243654560038976e-39,5.70114205001218e-41,1.7816068906288062e-42,5.5675215332150195e-44,1.7398504791296936e-45,5.437032747280292e-47,1.6990727335250914e-48,5.309602292265911e-50,1.659250716333097e-51,5.185158488540928e-53,1.62036202766904e-54,5.06363133646575e-56,1.582384792645547e-57,4.944952477017334e-59,1.545297649067917e-60,4.8290551533372405e-62,1.5090797354178877e-63,4.715874173180899e-65,1.473710679119031e-66,4.605345872246972e-68,1.4391705850771786e-69,4.497408078366183e-71,1.4054400244894323e-72,4.392000076529476e-74,1.3725000239154612e-75,4.289062574735816e-77,1.3403320546049426e-78,4.1885376706404455e-80,1.3089180220751392e-81,4.09036881898481e-83,1.2782402559327532e-84,3.9945007997898536e-86,1.2482814999343293e-87,3.900879687294779e-89,1.2190249022796184e-90,3.8094528196238075e-92,1.1904540061324399e-93,3.7201687691638746e-95,1.1625527403637108e-96,3.632977313636596e-98,1.1353054105114363e-99,3.5478294078482385e-101,1.1086966899525745e-102,3.4646771561017954e-104,1.082711611281811e-105,3.3834737852556596e-107,1.0573355578923936e-108,3.30417361841373e-110,1.0325542557542906e-111,3.226732049232158e-113,1.0083537653850495e-114,3.1511055168282796e-116,9.847204740088374e-118,3.077251481277617e-119,9.616410878992552e-121,3.0051283996851726e-122,9.391026249016164e-124,2.9346957028175514e-125,9.170924071304848e-127,2.865913772282765e-128,8.95598053838364e-130,2.7987439182448877e-131,8.746074744515274e-133,2.733148357661023e-134,8.541088617690697e-136,2.669090193028343e-137,8.340906853213572e-139,2.606533391629241e-140,8.145416848841379e-142,2.545442765262931e-143,7.954508641446659e-145,2.485783950452081e-146,7.768074845162753e-148,2.4275233891133602e-149,7.586010590979251e-151,2.370628309681016e-152,7.408213467753175e-154,2.315066708672867e-155,7.23458346460271e-157,2.2608073326883467e-158,7.065022914651083e-160,2.2078196608284636e-161,6.899436440088949e-163,2.1560738875277965e-164,6.737730898524364e-166,2.1055409057888637e-167,6.579815330590199e-169,2.0561922908094372e-170,6.425600908779491e-172,2.008000283993591e-173,6.275000887479972e-175
Ag123,103053894.15339576,10250567.217956832,1018521.8970788335,101139.8917332923,10039.586150861009,996.3588995984384,98.86917561668221,9.810106847119506,0.9733467186495729,0.09657177768332173,0.00958134123286638,0.0009506015546303997,9.431232609167978e-05,9.357009119892143e-06,9.283352916960517e-07,9.210266681383555e-08,9.137750098117364e-09,9.065801117801293e-10,8.994416693254704e-11,8.923593209334423e-12,8.85332673377452e-13,8.783613163514876e-14,8.714448310016059e-15,8.645827948954894e-16,8.577747849125926e-17,8.510203789204052e-18,8.443191567421235e-19,8.376707007107322e-20,8.31074595981705e-21,8.245304307048758e-22,8.180377961141762e-23,8.115962865695051e-24,8.05205499570732e-25,7.988650357555242e-26,7.925744988877987e-27,7.863334958407933e-28,7.801416365770633e-29,7.739985341267817e-30,7.679038045651065e-31,7.618570669891026e-32,7.558579434944604e-33,7.49906059152195e-34,7.440010419853892e-35,7.38142522946054e-36,7.3233013589212655e-37,7.265635175646225e-38,7.208423075649536e-39,7.1516614833241675e-40,7.095346851218555e-41,7.039475659814901e-42,6.984044417309285e-43,6.929049659393432e-44,6.874487949038189e-45,6.820355876278726e-46,6.766650058001473e-47,6.713367137732638e-48,6.660503785428456e-49,6.60805669726707e-50,6.556022595442041e-51,6.504398227957489e-52,6.453180368424893e-53,6.402365815861381e-54,6.351951394489749e-55,6.301933953539937e-56,6.25231036705213e-57,6.203077533681395e-58,6.154232376503845e-59,6.105771842824345e-60,6.0576929039857375e-61,6.009992555179536e-62,5.96266781525815e-63,5.915715726548572e-64,5.8691333546675155e-65,5.822917788338037e-66,5.7770661392075896e-67,5.731575541667496e-68,5.686443152673864e-69,5.641666151569912e-70,5.597241739909664e-71,5.55316714128307e-72,5.509439601142492e-73,5.466056386630531e-74,5.423014786409248e-75,5.380312110490715e-76,5.337945690068878e-77,5.295912877352782e-78,5.2542110454010886e-79,5.2128375879578886e-80,5.171789919289826e-81,5.1310654740245006e-82,5.0906617069901256e-83,5.050576093056471e-84,5.0108061269770514e-85,4.9713493232325445e-86,4.93220321587546e-87,4.893365358376027e-88,4.854833323469282e-89,4.8166047030033785e-90,4.7786771077890886e-91,4.7410481674504704e-92,4.703715530276737e-93,4.666676863075282e-94,4.62992985102585e-95,4.593472197535876e-96,4.557301624096955e-97,4.5214158701424317e-98,4.485812692906129e-99,4.4504898672821825e-100,4.4154451856859684e-101,4.380676457916141e-102,4.3461815110177564e-103,4.3119581891464535e-104,4.278004353433732e-105,4.2443178818532777e-106,4.2108966690883335e-107,4.177738626400129e-108,4.1448416814973415e-109,4.112203778406576e-110,4.079822877343876e-111,4.0476969545872476e-112,4.0158240023501716e-113,3.9842020286561286e-114
Ag124,118486042.89563553,2106461.8562762155,37443.73871059741,665.5869719729059,11.831244221739034,0.2103081125814637,0.0037383644009570606,6.645187493150704e-05,1.1812255864589937e-06,2.0997058210321604e-08,3.73236457619186e-10,6.634522420309883e-12,1.1793298149073388e-13,2.0963362262161434e-15,3.7263795280887054e-17,6.623964944564352e-19,1.1775961329538053e-20,2.095767778728794e-22,3.769547785110918e-24,7.47727575843893e-26,2.694349097096224e-27,2.8787214511753135e-28,4.730067177326809e-29,8.25585501350913e-30,1.4501766495387634e-30,2.5489450896156464e-31,4.4805203253950936e-32,7.875883724593507e-33,1.3844281784444737e-33,2.4335573986480677e-34,4.277724005638969e-35,7.519412811565661e-36,1.3217675792116993e-36,2.323412182903872e-37,4.0841099876950383e-38,7.179076753718513e-39,1.261943071833608e-39,2.2182522505055864e-40,3.8992591319697026e-41,6.854144642379499e-42,1.2048262808049917e-42,2.117851960612326e-43,3.722774808724017e-44,6.543919279638004e-45,1.1502946522058237e-45,2.021995887098584e-46,3.5542783404264964e-47,6.24773502351294e-48,1.0982311790287728e-48,1.9304783542384676e-49,3.393408188865142e-50,5.964956359637361e-51,1.0485241501193364e-51,1.843102995392769e-52,3.239819179404852e-53,5.694976537652857e-54,1.0010669104803045e-54,1.759682331670511e-55,3.093181760355754e-56,5.43721626932209e-57,9.55757632425088e-58,1.680037369660671e-58,2.953181295863286e-59,5.191122485566048e-60,9.124990970888553e-61,1.6039972173709595e-61,2.8195173908026926e-62,4.95616714975902e-63,8.71198485828718e-64,1.5313987175496167e-64,2.6919032462295715e-65,4.731846124735003e-66,8.317671810653237e-67,1.4620860976033953e-67,2.57006504400327e-68,4.5176780910745364e-69,7.941205761385746e-70,1.3959106353606208e-70,2.4537413592628846e-71,4.313203514350933e-72,7.581778937694506e-73,1.332730339962138e-73,2.3426825994951765e-74,4.1179836591199633e-75,7.238620127384427e-76,1.2724096471954584e-76,2.236650468990811e-77,3.9315996475373717e-78,6.91099302408681e-79,1.2148191286183741e-79,2.135417457539844e-80,3.753651560584223e-81,6.598194647387108e-82,1.1598352138479219e-82,2.0387663522693484e-83,3.5837575799717655e-84,6.299553834459358e-85,1.1073399254188455e-85,1.9464897715757816e-86,3.42155316888447e-87,6.014429799970605e-88,1.0572206256425942e-88,1.8583897201519967e-89,3.2666902898034717e-90,5.742210761165584e-91,1.0093697749237644e-91,1.7742771641541885e-92,3.118836657732091e-93,5.482312625181361e-94,9.636847010153587e-95,1.693971625597217e-95,2.977675027221111e-96,5.234177735775418e-97,9.20067378717776e-98,1.617300795107966e-98,2.842902511663978e-99,4.997273676778119e-100,8.784242195488692e-101,1.5441001622059043e-101,2.714229933401397e-102,4.771092129701989e-103,8.386658709337093e-104
Ag125,343.71674665032975,5.281617958041611,0.08115836230481953,0.001247095080483987,1.9163104045809646e-05,2.944639633662796e-07,4.5247906999260685e-09,6.952890133134933e-11,1.0684108733836705e-12,1.6420279856594416e-14,2.5282201621148166e-16,3.973650000715743e-18,7.665830743149226e-20,3.919849793285794e-21,5.42206848082824e-22,9.305332143779932e-23,1.6322308344089295e-23,2.86861391058275e-24,5.042387491529946e-25,8.863530992001512e-26,1.558037408350476e-26,2.738728891266615e-27,4.814156562538259e-28,8.462357666210005e-29,1.4875190772466679e-29,2.614771311336461e-30,4.596263076670714e-31,8.079342992014796e-32,1.4201924932003936e-32,2.4964241767383764e-33,4.388231665807363e-34,7.713663940698391e-35,1.3559131769102593e-35,2.3834335504541256e-36,4.189615962266248e-37,7.364535884766619e-38,1.2945432060240138e-38,2.2755569916216637e-39,3.99998980182526e-40,7.031209709805526e-41,1.2359509006924005e-41,2.1725630324921827e-42,3.81894630887634e-43,6.712970207060121e-44,1.1800105410263304e-44,2.0742306817760374e-45,3.646097023403692e-46,6.409134538830755e-47,1.126602097343182e-47,1.9803489504678245e-48,3.481071067475892e-49,6.119050773327152e-50,1.0756109726224347e-50,1.8907163991331134e-51,3.3235143494633452e-52,5.842096485836365e-53,1.0269277566180107e-53,1.8051407056854284e-54,3.173088804273666e-55,5.577677423203312e-56,9.804479910997389e-57,1.7234382527260646e-57,3.0294716679748034e-58,5.325226228758196e-59,9.3607194572021e-60,1.6454337335613078e-60,2.892354785249334e-61,5.084201224955026e-62,8.937044040261432e-63,1.5709597760517203e-63,2.761443948194172e-64,4.854085251109041e-65,8.5325445915506e-66,1.4998565834863608e-66,2.6364582650467827e-67,4.6343845537393665e-68,8.146353187789568e-69,1.4319715917114085e-69,2.5171295574834987e-70,4.424627727135795e-71,7.777641188763967e-72,1.3671591417774706e-72,2.4032017851967175e-73,4.224364701876631e-74,7.425617459334767e-75,1.3052801674032096e-75,2.2944304965162898e-76,4.0331657791271555e-77,7.089526671921516e-78,1.246201896584672e-78,2.1905823038963302e-79,3.850620708646716e-80,6.7686476858167185e-81,1.1897975667100533e-81,2.0914343831420032e-82,3.6763378085261404e-83,6.462291999854307e-84,1.1359461525686936e-84,1.996773995301835e-85,3.509943124766688e-86,6.169802275111601e-87,1.084532106670605e-87,1.9063980301996103e-88,3.351079628897313e-89,5.890550924475477e-90,1.0354451113194412e-90,1.8201125706264917e-91,3.199406451908536e-92,5.623938766046005e-93,9.885798419068525e-94,1.737732476258229e-94,3.054598152859244e-95,5.36939373748838e-96,9.438357409203852e-97,1.6590809864046802e-97,2.916344020587059e-98,5.126369668574676e-99,9.011168021800226e-100,1.5839893407392913e-100,2.7843474070239873e-101,4.8943451092813884e-102,8.603313648403612e-103
Ag126,63.396050197965664,0.09743113351308022,0.00014973844187454258,2.3012768266732376e-07,3.536750460793733e-10,5.435505923034617e-13,8.353635623112027e-16,1.2838405313477538e-18,1.973088825386488e-21,3.032370000640302e-24,4.6603415429014405e-27,7.162313072582488e-30,1.1007504080430192e-32,1.6917041303948383e-35,2.5999198763713826e-38,3.9957243362486316e-41,6.140886539000769e-44,9.437709989845082e-47,1.45044806294231e-49,2.2291420117346e-52,3.425889030731751e-55,5.2651269363297586e-58,8.091786221617338e-61,1.2435978286593647e-63,1.911241247716966e-66,2.937318659451647e-69,4.514260519162105e-72,6.937806345692872e-75,1.0662467681256086e-77,1.6386767140655412e-80,2.518423927268875e-83,3.870476112219107e-86,5.9483970006211524e-89,9.141879668316046e-92,1.404982953579649e-94,2.159268303093955e-97,3.318502614474558e-100,5.100088574678302e-103,7.838144636713694e-106,1.2046165560942021e-108,1.851332317114093e-111,2.8452467559502874e-114,4.3727584871769564e-117,6.720336908280513e-120,1.03282466418479e-122,1.5873114718907156e-125,2.439482514473607e-128,3.749153864133474e-131,5.761941154958442e-134,8.855322314406317e-137,1.3609429736112596e-139,2.0915848251041686e-142,3.2144822857622805e-145,4.940223433187738e-148,7.59245358977913e-151,1.1668571734164182e-153,1.7933012655964884e-156,2.7560608979881525e-159,4.235691915877127e-162,6.509684172553417e-165,1.0004501948678023e-167,1.5375563020877279e-170,2.3630155646099598e-173,3.6316345300702625e-176,5.581329872524812e-179,8.57774726173648e-182,1.318283451555669e-184,2.0260229237550555e-187,3.1137225326898094e-190,4.7853693543659e-193,7.354463866734521e-196,1.1302813798010546e-198,1.7370892299892668e-201,2.669670620846484e-204,4.102921773255654e-207,6.305634465167723e-210,9.690905214788147e-213,1.4893607360335657e-215,2.288945514247232e-218,3.517798905553025e-221,5.406379952202494e-224,8.30887295502812e-227,1.276961116184087e-229,1.9625160970349538e-232,3.016121150681994e-235,4.635369263638332e-238,7.12393406525612e-241,1.0948520749840393e-243,1.682639192216835e-246,2.585988295473978e-249,3.9743133853419927e-252,6.107980810490673e-255,9.387138346693805e-258,1.4426758870725804e-260,2.217197231224046e-263,3.407531522636623e-266,5.236913935415682e-269,8.048426664511168e-272,1.2369340526287016e-274,1.9009999274751308e-277,2.9215791388235217e-280,4.490071010021359e-283,6.900630349911612e-286,1.0605333216299134e-288,1.6298959214672066e-291,2.5049290396011484e-294,3.849736299596833e-297,5.9165227206569266e-300,9.092893221729383e-303,1.3974544009287929e-305,2.14769793843882e-308,3.3007205327836e-311,5.072759926e-314,7.7961444e-317,1.19816e-319,1.83e-322,0.0,0.0,0.0,0.0,0.0,0.0
Ag127,21.481729576809727,0.03718143658559935,6.435511729285337e-05,1.1138841051077029e-07,1.927955152292717e-10,3.336981874692098e-13,5.775781671467489e-16,9.996953885024588e-19,1.7303127552935357e-21,2.9948945104333097e-24,5.183683181658094e-27,8.972126141403648e-30,1.5529314712383655e-32,2.6878758906807665e-35,4.652283077206036e-38,8.052357590430234e-41,1.393734252368406e-43,2.4123309781143624e-46,4.175358923755552e-49,7.226878193892115e-52,1.2508569774015214e-54,2.1650332770745287e-57,3.747326173594535e-60,6.486021993288408e-63,1.1226266235871248e-65,1.94308705288195e-68,3.363172773342344e-71,5.821113926200619e-74,1.0075416764310695e-76,1.7438934242060135e-79,3.018400475265137e-82,5.224368245570333e-85,9.042545476980183e-88,1.5651199314402167e-90,2.7089721650031323e-93,4.6887973524232534e-96,8.115557958147534e-99,1.4046732247452102e-101,2.4312645889433006e-104,4.208129974515474e-107,7.283599639030731e-110,1.2606745519498092e-112,2.1820259276982296e-115,3.7767377328140707e-118,6.536928696126027e-121,1.1314377592853514e-123,1.958337718897426e-126,3.389569235941648e-129,5.86680197923708e-132,1.0154495473528248e-134,1.7575806834256685e-137,3.0420909308630713e-140,5.265372633478162e-143,9.113517511297758e-146,1.577404054950356e-148,2.7302340172049666e-151,4.7255982164555597e-154,8.179254365246408e-157,1.4156980536017922e-159,2.450346803600756e-162,4.2411582347243285e-165,7.340766272569111e-168,1.2705691814865948e-170,2.199151948177378e-173,3.806380133912751e-176,6.588234949319217e-179,1.1403180507568843e-181,1.9737080824908174e-184,3.416172875895397e-187,5.912848623123437e-190,1.0234194846128518e-192,1.77137536954558e-195,3.0659673252358713e-198,5.306698851653038e-201,9.18504658231124e-204,1.5897845925993635e-206,2.7516627468538645e-209,4.76268791864651e-212,8.243450704980637e-215,1.426809412798087e-217,2.4695787884304515e-220,4.274445723136452e-223,7.39838158864801e-226,1.2805414707917325e-228,2.216412385289133e-231,3.8362551886943385e-234,6.639943888810391e-237,1.1492680407831782e-239,1.9891990831299652e-242,3.442985319272104e-245,5.959256672324102e-248,1.0314519753499044e-250,1.7852783257249817e-253,3.090031117757255e-256,5.348349426037361e-259,9.25713706202272e-262,1.60226230111084e-264,2.7732596637173e-267,4.800068725994032e-270,8.308150901160882e-273,1.4380079814829313e-275,2.4889617189303544e-278,4.307994474350747e-281,7.456449108832553e-284,1.2905920293917974e-286,2.233808294026462e-289,3.866364723182849e-292,6.692058675154922e-295,1.1582882764057927e-297,2.0048116676562817e-300,3.470008204902749e-303,6.006028963393266e-306,1.0395475105261255e-308,1.7992904017405e-311,3.1142837795e-314,5.390327e-317,9.33e-320,1.63e-322,0.0,0.0,0.0,0.0
