Ag120,5072357807.912577,475519825.07001585,28573341.41421685,1707270.9222519605,102000.884450528,6094.032682457286,364.08736672184307,21.75236291968586,1.2995927237104905,0.07764403590345482,0.004638835076088004,0.0002771467326853229,1.6558103527777283e-05,9.892622214236552e-07,5.9103371415351743e-08,3.531124950504941e-09,2.1096670320975658e-10,1.2604184356837658e-11,7.530357202539062e-13,4.499004298288391e-14,2.687925570010492e-15,1.605898414603626e-16,9.594423844170558e-18,5.732178826785217e-19,3.4246844454561723e-20,2.046074259955903e-21,1.2224249982530759e-22,7.303365794681556e-24,4.363388511127446e-25,2.6069020550639344e-26,1.5574909975047288e-27,9.305214220059308e-29,5.559390829219293e-30,3.3214524309802083e-31,1.9843983972635285e-32,1.1855768164350767e-33,7.083216704904794e-35,4.231860659986997e-36,2.528320873360361e-37,1.51054274993292e-38,9.02472238953703e-40,5.391811268620357e-41,3.221332191905002e-42,1.9245816616386732e-43,1.149839368204193e-44,6.869703681715938e-46,4.1042975201211593e-47,2.4521084043999183e-48,1.4650096873949864e-49,8.752685567693675e-51,5.2292831444095594e-52,3.1242299283934417e-53,1.8665680124634727e-54,1.11517917214993e-55,6.66262669076646e-57,3.980579581210613e-58,2.378193246863134e-59,1.420849151244784e-60,8.488848890879073e-62,5.071654188556734e-63,3.030054668064825e-64,1.8103030983810416e-65,1.081563756109065e-66,6.461791727445457e-68,3.860590935396692e-69,2.306506151717022e-70,1.3780197687175606e-71,8.232965177928449e-73,4.9187767229248676e-74,2.9387181807654843e-75,1.7557342063752622e-76,1.0489616267434005e-77,6.267010635122211e-79,3.744219168690575e-80,2.2369799573375967e-81,1.3364814141689618e-82,7.984794698585234e-84,4.7705075209145076e-85,2.8501348959083654e-86,1.702810212385402e-87,1.0173422400345371e-88,6.078100928867562e-90,3.6313552556558143e-91,2.1695495265880655e-92,1.2961951714824541e-93,7.744104948904607e-95
Ag120_m1,174332924.52462944,3449.734988426646,0.0682640500801883,1.3508227585550796e-06,2.673035254847745e-11,5.289455947056887e-16,1.0466881858409725e-20,2.071207642798586e-25,4.098547358820628e-30,8.110287981459077e-35,1.604880104670233e-39,3.175769043287373e-44,6.284275683244723e-49,1.2435451169377539e-53,2.460752099057002e-58,4.869385766979404e-63,9.635638533742584e-68,1.9067195411494214e-72,3.773054993573908e-77,7.466197139801265e-82,1.4774261129328188e-86,2.923560519905959e-91,5.785200382431218e-96,1.1447870922117543e-100,2.2653277325960054e-105,4.482676098447243e-110,8.870409660575946e-115,1.7552945119923908e-119,3.47341209901974e-124,6.8732577508731e-129,1.360094073584576e-133,2.6913815195783997e-138,5.325759904855365e-143,1.053872086058173e-147,2.08542328909731e-152,4.1266775657528725e-157,8.165952600951041e-162,1.6158951315793787e-166,3.1975658001711076e-171,6.327407544343873e-176,1.2520801363986752e-180,2.4776413673013824e-185,4.902806590814281e-190,9.70177233241521e-195,1.9198062303001166e-199,3.7989511973856215e-204,7.517441068967433e-209,1.4875663647453222e-213,2.94362625422691e-218,5.824906861252816e-223,1.152644290135303e-227,2.28087571394363e-232,4.5134427567824715e-237,8.931291343152793e-242,1.7673419018421475e-246,3.497251716462769e-251,6.920432065551851e-256,1.3694290218937437e-260,2.709853703123248e-265,5.362313033337011e-270,1.0611052926715208e-274,2.099736503884836e-279,4.155000843173955e-284,8.22199927221113e-289,1.6269857596611349e-293,3.2195121581763974e-298,6.37083543915252e-303,1.2606737356056874e-307,2.494646554326e-312,4.936457e-317,9.8e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag121,2549925231.9054465,30292125.541121315,356165.8478641544,4187.673511003155,49.23720088342457,0.5789137917420326,0.0068066659407107185,8.003039811681772e-05,9.409694376844317e-07,1.1063589629577154e-08,1.3008181837754532e-10,1.5294565361654154e-12,1.7982815163528724e-14,2.1143565283417995e-16,2.4859864755815874e-18,2.922935973159348e-20,3.4366859140656684e-22,4.0407351308387674e-24,4.7509550787778506e-26,5.586006860063522e-28,6.567831546136956e-30,7.7222266816087e-32,9.079524117396691e-34,1.0675386983228853e-35,1.2551746740044811e-37,1.4757904933444798e-39,1.7351828596871208e-41,2.0401673341374324e-43,2.3987574151302763e-45,2.8203750939259344e-47,3.316098418399556e-49,3.8989525698885006e-51,4.5842521011716475e-53,5.390003327918826e-55,6.337377446487036e-57,7.4512668092822685e-59,8.760938973879243e-61,1.030080571110693e-62,1.2111327177866449e-64,1.4240075011915135e-66,1.674298228154148e-68,1.9685813132687363e-70,2.314589074864667e-72,2.721412902465939e-74,3.1997421339859676e-76,3.762144919180717e-78,4.423398449076199e-80,5.2008772281825635e-82,6.115009591387136e-84,7.189814460554701e-86,8.453532444169941e-88,9.939367862229974e-90,1.1686361193167512e-91,1.3740414866437072e-93,1.6155499353570147e-95,1.8995071247865716e-97,2.233374059290589e-99,2.6259231269124977e-101,3.0874685947790574e-103,3.630137617529962e-105,4.268188879553327e-107,5.018387243384535e-109,5.900444248193672e-111,6.937536032504625e-113,8.156912289618557e-115,9.590612256108071e-117,1.1276306546053552e-118,1.3258286950302634e-120,1.5588630207830307e-122,1.8328566327411755e-124,2.155008741240063e-126,2.5337839260649284e-128,2.9791345441553478e-130,3.5027622288074546e-132,4.1184253512923466e-134,4.842300523476342e-136,5.69340763996157e-138,6.694109627772898e-140,7.870700034565655e-142,9.254093894294583e-144,1.0880640022910793e-145,1.279307608723939e-147,1.50416515415711e-149,1.7685447937242034e-151,2.079393129647179e-153,2.4448777339242094e-155
Ag122,223157912.2136095,320887.5533019163,458.2250400940175,0.6543419392928234,0.0009343954084847984,1.3343096735340925e-06,1.905384261009692e-09,2.720874512201974e-12,3.8853885080520635e-15,5.548305807858011e-18,7.922939308055009e-21,1.131389823362268e-23,1.6156162285710368e-26,2.3070879232986654e-29,3.294504345588477e-32,4.704527631345193e-35,6.718030365850678e-38,9.593297251734275e-41,1.3699156917770027e-43,1.956229389470443e-46,2.793480976383212e-49,3.9890699973214004e-52,5.696362201160313e-55,8.134362733317962e-58,1.1615809307862147e-60,1.6587289047728626e-63,2.3686525033315673e-66,3.3824181066569027e-69,4.830067826390228e-72,6.897300827953626e-75,9.849294134414568e-78,1.4064718556721971e-80,2.0084313188353918e-83,2.8680249421350796e-86,4.095518224381508e-89,5.848369475390374e-92,8.351427987075594e-95,1.1925776871108858e-97,1.7029920415954803e-100,2.4318599325495215e-103,3.472677844107345e-106,4.958958058209822e-109,7.081355117582273e-112,1.0112122287118346e-114,1.4440035198312111e-117,2.0620262553006846e-120,2.9445581116356124e-123,4.204807019556967e-126,6.004433059700975e-129,8.574285621371676e-132,1.2244015910558302e-134,1.7484363390500406e-137,2.496754050339447e-140,3.5653461602573267e-143,5.091287722446445e-146,7.27032089104724e-149,1.0381964002104964e-151,1.4825367154527031e-154,2.1170513712238393e-157,3.023133566734069e-160,4.317012183332574e-163,6.164661196618991e-166,8.803090205727181e-169,1.2570747150333522e-171,1.795093316376675e-174,2.563379865941155e-177,3.660487327965561e-180,5.227148600262923e-183,7.464329211164443e-186,1.0659006436097932e-188,1.5220981683771833e-191,2.173544830905749e-194,3.1038058057674486e-197,4.432211538927058e-200,6.329165017120276e-203,9.038000434346691e-206,1.2906197204574895e-208,1.8429953339055936e-211,2.631783589664799e-214,3.758167335210261e-217,5.3666349219999135e-220,7.66351463815745e-223,1.0943441740092802e-225,1.562715317623497e-228,2.2315458170606546e-231,3.1866307813594226e-234
Ag122_m1,83181616.87056942,2.479005362706477,7.38801170202044e-08,2.2017990654767987e-15,6.561872558226626e-23,1.9555904144724195e-30,5.828113599039406e-38,1.7369132039068436e-45,5.176404726227682e-53,1.5426888246022797e-60,4.597570969469214e-68,1.3701829223243117e-75,4.083463318122382e-83,1.2169669026501194e-90,3.6268439967934084e-98,1.080883740423151e-105,3.221284569570889e-113,9.600176124486055e-121,2.8610754384059057e-128,8.526669259089e-136,2.541145461526227e-143,7.573203627843392e-151,2.256990560246535e-158,6.726356030245269e-166,2.0046103090778906e-173,5.974204269283709e-181,1.780451616431396e-188,5.3061593068582e-196,1.581358703034589e-203,4.71281618784248e-211,1.4045286738403155e-218,4.185821634055149e-226,1.2474720579550188e-233,3.717756444081742e-241,1.1079777610545648e-248,3.3020310433345155e-256,9.84081936876337e-264,2.9327927138696414e-271,8.740403395502733e-279,2.6048431979128086e-286,7.763037675359328e-294,2.313565515088848e-301,6.89496253457326e-309,2.05485894e-316,5e-324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag123,102879915.03471443,994.6768123311032,0.009565165683977252,9.19471759327931e-08,8.838380243932101e-13,8.495836571285034e-18,8.166567566498019e-23,7.850059806635298e-28,7.545818781899153e-33,7.253369081146678e-38,6.972253713985926e-43,6.702033401076315e-48,6.44228588799637e-53,6.1926052854364914e-58,5.952601434945446e-63,5.721899299257052e-68,5.50013837624565e-73,5.286972135594568e-78,5.082067477297407e-83,4.885104211145897e-88,4.695774556391003e-93,4.513782660795443e-98,4.338844138326022e-103,4.170685624763451e-108,4.009044350535149e-113,3.8536677301035797e-118,3.704312967268448e-123,3.560746675766043e-128,3.422744514572786e-133,3.2900908373431925e-138,3.1625783554343778e-143,3.040007813990546e-148,2.9221876805813544e-153,2.8089338459075387e-158,2.7000693361061675e-163,2.5954240362059344e-168,2.494834424300368e-173,2.398143316023555e-178,2.30519961892912e-183,2.2158580963885827e-188,2.1299791406402308e-193,2.047428554633809e-198,1.9680773423301513e-203,1.8918015071280824e-208,1.8184818581035788e-213,1.748003823758427e-218,1.6802572729873473e-223,1.6151363429837937e-228,1.5525392738155442e-233,1.4923682494115505e-238,1.4345292447115923e-243,1.378931878739879e-248,1.3254892733730026e-253,1.274117917581564e-258,1.2247375369333168e-263,1.1772709681539069e-268,1.1316440385492157e-273,1.0877854501008641e-278,1.0456266680537797e-283,1.0051018138217147e-288,9.661475620433788e-294,9.28703041628318e-299,8.927097406379054e-304,8.581114148528226e-309,8.248539999e-314,7.92886e-319,1e-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag124,118286010.68790717,0.20995306320151375,3.726063470104897e-10,6.612782297079979e-19,2.6924465750347594e-27,2.5490828004424843e-31,4.277955177506439e-35,7.179464717173449e-39,1.2048913906488518e-42,2.0221051574876815e-46,3.3935915715493115e-50,5.695284299061335e-54,9.558092823859206e-58,1.604083898754025e-61,2.6920487189859644e-65,4.5179222302668795e-69,7.582188663520269e-73,1.2724784093023058e-76,2.135532857327719e-80,3.5839512493000155e-84,6.014754824906912e-88,1.0094243221306872e-91,1.6940631692743452e-95,2.84305614454997e-99,4.771349963605961e-103,8.007502953764648e-107,1.3438566452604233e-110,2.2553231555931564e-114,3.7849889376920667e-118,6.352145688267671e-122,1.0660468368391388e-125,1.7890897251203665e-129,3.0025341607146108e-133,5.038993438773262e-137,8.456674767675823e-141,1.4192387625663473e-144,2.381832955040359e-148,3.997303607645148e-152,6.70846211019116e-156,1.1258455274149776e-159,1.8894466880490325e-163,3.1709579156711213e-167,5.321650071714756e-171,8.931042366037792e-175,1.4988493544119918e-178,2.5154391784818204e-182,4.221527828674682e-186,7.084765698461731e-190,1.1889985578481423e-193,1.995433061211768e-197,3.348829210510707e-201,5.6201620085213175e-205,9.432019077858372e-209,1.5829256122901467e-212,2.6565398917885446e-216,4.458329653567018e-220,7.482177610550694e-224,1.2556940860359055e-227,2.107364620003315e-231,3.536677994288756e-235,5.935418634515488e-239,9.961097511236236e-243,1.6717180326818937e-246,2.8055554898859614e-250,4.708414608773339e-254,7.901881893988596e-258,1.3261308243798012e-261,2.2255748528817342e-265,3.7350639429530116e-269,6.268359224082693e-273,1.0519854000431744e-276,1.7654911633848605e-280,2.962929949276962e-284,4.9725277964524474e-288,8.34512901411187e-292,1.4005186318285824e-295,2.3504159549626236e-299,3.944578126839968e-303,6.6199757391417676e-307,1.11099533023913e-310,1.8645243916e-314,3.12913e-318,5.24e-322,0.0,0.0,0.0
Ag125,343.1364722543026,2.939668392133677e-07,2.523961572068819e-16,9.305797357837652e-23,1.5581216059938512e-26,2.6149126158170523e-30,4.388468809604055e-34,7.364933870591799e-38,1.2360176925373706e-41,2.0743427749781658e-45,3.481259187537084e-49,5.842412197732813e-53,9.80500975348696e-57,1.6455226542091887e-60,2.7615931789896437e-64,4.63463499984888e-68,7.778061499153483e-72,1.3053507058611158e-75,2.190700684839739e-79,3.676536480969212e-83,6.1701356965095025e-87,1.0355010676598701e-90,1.7378263848091978e-94,2.916501622315079e-98,4.894609603881916e-102,8.214363054389868e-106,1.3785728760841345e-109,2.3135855599409503e-113,3.882767633127731e-117,6.516242473975799e-121,1.093586327890599e-124,1.8353077886918523e-128,3.080099479416627e-132,5.169167189043864e-136,8.67513845148549e-140,1.4559023610602653e-143,2.443363523008552e-147,4.1005670883183954e-151,6.881763719340389e-155,1.1549298150429986e-158,1.9382573015789415e-162,3.25287417312385e-166,5.459125771153568e-170,9.161760522895685e-174,1.5375695559612075e-177,2.5804212340092236e-181,4.33058375740478e-185,7.267788465203377e-189,1.2197142956680172e-192,2.0469816508553214e-196,3.4353404676982234e-200,5.765349251701314e-204,9.675679108558392e-208,1.623817779715029e-211,2.725167042162798e-215,4.5735029511708225e-219,7.675466832215811e-223,1.2881327883993889e-226,2.161804769431293e-230,3.628042002519763e-234,6.088749991753571e-238,1.0218425375541708e-241,1.7149039999496295e-245,2.8780322025763514e-249,4.830048422133122e-253,8.106013455744762e-257,1.3603891390326161e-260,2.2830687608670734e-264,3.831552911804115e-268,6.430291530238031e-272,1.0791616379997136e-275,1.811099598601114e-279,3.039472161124011e-283,5.100984520886405e-287,8.560711104753257e-291,1.4366986278623468e-294,2.411134918634826e-298,4.0464795351758256e-302,6.790991454707824e-306,1.13969598850105e-309,1.9126911805e-313,3.2099677e-317,5.385e-321,0.0,0.0,0.0
Ag126,63.28902280953117,5.426329515325543e-13,4.652473794311585e-27,3.988978617244446e-41,3.4201053272537254e-55,2.9323597772478415e-69,2.5141722375332848e-83,2.1556229522135024e-97,1.8482068343371153e-111,1.5846317181689117e-125,1.3586453829598466e-139,1.1648872450761757e-153,9.987612005017687e-168,8.563266014321427e-182,7.342047808344209e-196,6.294989076581155e-210,5.397252715957563e-224,4.6275436741078795e-238,3.9676038130403915e-252,3.401778810934166e-266,2.916646828618943e-280,2.5007001323983374e-294,2.1440721210453007e-308,1.83e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag127,21.445463383077634,3.331348267271641e-13,5.1749319096601944e-27,8.038763323761386e-41,1.2487452376874772e-54,1.9398066665775597e-68,3.013304707905897e-82,4.68088156368072e-96,7.271303215940914e-110,1.1295276271971718e-123,1.7546134753460085e-137,2.7256247423582414e-151,4.233998165715912e-165,6.577112464783133e-179,1.0216917126862122e-192,1.5871006636437437e-206,2.4654095606939965e-220,3.829778690915946e-234,5.949196050519543e-248,9.241508845267681e-262,1.4355802870154559e-275,2.2300371021369594e-289,3.464150017862335e-303,5.3812267e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
